,city,cloudiness,country,date,humidity,latitude,max temp,wind speed,longitude
0,Salinas,1,US,1547100000,86,36.67,55.04,3.36,-121.66
1,Mataura,56,NZ,1547100548,47,-46.19,66.44,21.27,168.86
2,Voh,24,NC,1547100548,98,-20.95,77.51,22.06,164.69
3,Upernavik,64,GL,1547100548,99,72.79,-0.07,20.83,-56.15
4,Cape Town,75,ZA,1547096400,72,-33.93,64.4,5.82,18.42
5,Busselton,0,AU,1547100549,94,-33.64,69.86,20.71,115.35
6,Poronaysk,20,RU,1547100551,67,49.22,11.45,9.98,143.1
7,East London,20,ZA,1547096400,73,-33.02,73.4,18.34,27.91
9,Sao Jose da Coroa Grande,80,BR,1547100555,100,-8.9,74.5,4.38,-35.15
10,Bredasdorp,80,ZA,1547096400,68,-34.53,64.4,9.17,20.04
11,Isangel,64,VU,1547100558,100,-19.55,78.41,12.1,169.27
12,Vaini,0,IN,1547096400,29,15.34,78.8,9.17,74.49
13,Dacice,90,CZ,1547096400,92,49.08,30.2,6.93,15.44
14,Bima,68,ID,1547100561,84,-8.45,82.6,3.94,118.73
15,Hobart,0,AU,1547098200,27,-42.88,73.4,14.99,147.33
16,Ushuaia,75,AR,1547096400,65,-54.81,46.4,4.7,-68.31
17,Atuona,76,PF,1547100562,100,-9.8,81.52,18.03,-139.03
18,Sitka,8,US,1547100563,41,37.17,38.63,14.45,-99.65
20,Bereda,75,ES,1547098200,75,43.27,46.4,4.7,-7.54
21,Toshkivka,88,UA,1547100569,91,48.78,22.3,10.65,38.58
23,Abu Kamal,0,SY,1547100569,64,34.45,37.87,4.05,40.92
24,Grindavik,75,IS,1547098200,100,63.84,39.2,20.8,-22.43
25,Carnarvon,0,ZA,1547100569,58,-30.97,61.45,5.17,22.13
26,Albany,90,US,1547099820,71,42.65,32,11.41,-73.75
28,Khatanga,20,RU,1547100570,47,71.98,-29.05,5.06,102.47
29,Barrow,92,AR,1547100570,68,-38.31,59.96,5.95,-60.23
30,Chuy,92,UY,1547100571,95,-33.69,69.14,5.06,-53.46
31,Hamilton,75,CA,1547096400,67,43.26,26.6,20.8,-79.87
32,Iquique,0,CL,1547096400,73,-20.22,69.8,5.82,-70.14
33,Rikitea,24,PF,1547100575,95,-23.12,80.93,10.42,-134.97
34,Ribeira Grande,88,PT,1547100331,100,38.52,58.88,12.77,-28.7
35,Punta Arenas,90,CL,1547096400,53,-53.16,50,19.46,-70.91
36,Bethel,90,US,1547096160,77,60.79,-11.93,19.46,-161.76
37,La Orilla,0,MX,1547100577,100,18,71.35,2.37,-102.23
38,Atambua,20,ID,1547100577,89,-9.11,85.07,7.52,124.89
39,Tezu,12,IN,1547100577,59,27.93,56,1.7,96.16
40,Jamestown,32,AU,1547100578,60,-33.21,76.25,4.38,138.6
43,Ornskoldsvik,0,SE,1547099400,85,63.29,12.2,3.36,18.72
44,Hilo,90,US,1547098260,90,19.71,69.98,4.7,-155.08
45,Pevek,76,RU,1547100579,72,69.7,3.94,11.99,170.27
46,Den Helder,90,NL,1547099700,80,52.96,42.8,5.82,4.76
47,San Cristobal,75,EC,1547096400,100,-0.39,55.4,4.7,-78.55
48,Waitati,0,NZ,1547100585,76,-45.75,63.38,3.15,170.57
